order_profile_id,segment_id,run_id,track_a,track_b,current_relative_order_compatibility,current_shared_region_frame_count,component_pair_space_size,component_pairs_with_common_frames,possible_relation_set,relation_set_classification,pair_frame_left_count,pair_frame_right_count,pair_frame_shared_count,pair_frame_overlap_count,component_pair_support_left_count,component_pair_support_right_count,component_pair_support_shared_count,component_pair_support_overlap_count,exclusive_component_pair_left_count,exclusive_component_pair_right_count,exclusive_component_pair_shared_count,exclusive_component_pair_overlap_count
TERGOP_C72A792DE4AFDB976B33,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,2,96,37,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,45,2,4,0,34,1,3,0,33,1,2
TERGOP_171AA4B2C25AA09E6650,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,6,264,160,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,1,287,11,31,1,144,5,16,1,139,4,10
TERGOP_FC1DEFE52A686A34C8FD,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,7,462,271,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,24,383,30,89,16,207,12,47,15,197,12,36
TERGOP_519F52D43FE387A98148,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,ORDER_AMBIGUOUS,0,88,32,"{OVERLAP,RIGHT}",SET_VALUED_NO_SHARED,0,41,0,1,0,32,0,1,0,31,0,0
TERGOP_F97D9C1508FAA089A6AA,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,242,146,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,278,1,11,0,142,1,6,0,139,1,3
TERGOP_AA090A03133C53F2E2FA,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,2,84,29,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,4,23,6,6,3,18,4,5,3,17,4,4
TERGOP_B06252F2046CE95112F3,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,7,231,141,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,23,175,27,45,18,95,12,21,17,91,12,16
TERGOP_811670501BC012E56A7D,TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,2,44,14,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,4,4,6,4,3,3,4,4,3,3,4,4
TERGOP_21BB68DF234FD1F6D818,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,5,342,261,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,210,124,47,160,100,70,18,89,90,64,18,73
TERGOP_C83413088821C21D0B51,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,5,323,241,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,59,297,33,98,35,161,12,50,30,149,12,33
TERGOP_2BABCC1E30AE8321D03D,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,4,171,133,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,1,242,9,27,1,120,4,14,1,115,3,8
TERGOP_651A1A0775171CC56EF0,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,5,306,223,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,24,306,25,78,16,164,11,43,15,154,11,32
TERGOP_9949539919434B3F5B6B,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,162,124,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,237,1,10,0,120,1,6,0,117,1,3
TERGOP_D7110606732DBB2EBA25,TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,5,153,120,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,19,152,21,39,15,83,9,18,14,79,9,13
TERGOP_FA75635301AC2DFA121C,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,5,342,261,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,210,124,47,160,100,70,18,89,90,64,18,73
TERGOP_16BAF2A3DCB6B02EC0F2,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,5,323,241,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,59,297,33,98,35,161,12,50,30,149,12,33
TERGOP_A9676C55D33CF40BB72A,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,4,171,133,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,1,242,9,27,1,120,4,14,1,115,3,8
TERGOP_E35C61AA49E6DF33BD89,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,5,306,223,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,24,306,25,78,16,164,11,43,15,154,11,32
TERGOP_6996771EFB942BB2EF38,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,162,124,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,237,1,10,0,120,1,6,0,117,1,3
TERGOP_32E261730C4D9B341904,TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,5,153,120,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,19,152,21,39,15,83,9,18,14,79,9,13
