case_name,order_profile_id,segment_id,run_id,track_a,track_b,frame_count,current_relative_order_compatibility,possible_relation_set,frames_with_physical_sharing,maximum_shared_physical_regions_in_one_frame,detail_pack,status
partial_direction_with_local_shared,TERGOP_502E22A20AD671392149,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,5,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",1,1,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\relation_set_cases\01_partial_direction_with_local_shared_TERGOP_502E22A20AD671392149.png,RENDERED
competing_directions_with_shared,TERGOP_722FF98E6AE0A93EBAC5,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,5,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",2,2,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\relation_set_cases\02_competing_directions_with_shared_TERGOP_722FF98E6AE0A93EBAC5.png,RENDERED
