run_id,timing_condition,pair_index,from_frame_uid,to_frame_uid,from_frame,to_frame,base_edge_id,source_region_id,destination_region_id,p0_q95_retention,p0_rank_percentile,source_region_area_stratum,destination_region_area_stratum,source_theta_min_deg,source_theta_max_deg,destination_theta_min_deg,destination_theta_max_deg,sar_delta_interval_low_deg,sar_delta_interval_high_deg,source_touches_boundary,destination_touches_boundary,source_truncated,destination_truncated,p0_available,reference_used,identity_assignment_performed,hypothesis_pruned,hypothesis_id,source_track_id,destination_track_id,static_feasible,hard_infeasible_reason,angular_availability_state,source_optical_frame_index,destination_optical_frame_index,source_optical_timestamp_ms,destination_optical_timestamp_ms,optical_delta_interval_low_deg,optical_delta_interval_high_deg,optical_direction_state,sar_direction_state,cross_modal_direction_state,source_raw_theta_low_deg,source_raw_theta_high_deg,destination_raw_theta_low_deg,destination_raw_theta_high_deg,source_shell_width_deg,destination_shell_width_deg,source_intersection_pixel_count,destination_intersection_pixel_count,source_region_coverage_fraction,destination_region_coverage_fraction,source_region_degree,destination_region_degree,source_component_shell_count,destination_component_shell_count,source_component_region_count,destination_component_region_count,source_topology_state,destination_topology_state,source_initial_theta_gap_abs_deg,destination_initial_theta_gap_abs_deg,source_fragment_observation_count,destination_fragment_observation_count,optical_delta_interval_width_deg,optical_midpoint_change_deg,source_shell_width_deg_bin,destination_shell_width_deg_bin,source_initial_theta_gap_abs_deg_bin,destination_initial_theta_gap_abs_deg_bin,source_region_coverage_fraction_bin,destination_region_coverage_fraction_bin,evaluation_group,raw_fragment_manual_target_evaluation_available,post_reference_raw_fragment_interface_status,reference_relabels_raw_branch,case_name,selection_rule,selection_status
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,R02ZF_SARF000482__Q095__R0012,R02ZF_SARF000483__Q095__R0008,0.9041378043660788,,LARGE_Q4,LARGE_Q4,-28.10641288757324,-18.552379608154297,-27.91763496398925,-18.647157669067383,-9.365255355834954,9.459255218505856,False,False,False,False,True,False,False,False,H_E7BCFB50E3A6064988F1,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_AVAILABLE,290.0,291.0,16111.0,16167.0,-1.5708851983104817,3.4623569539995778,OPTICAL_DIRECTION_INDETERMINATE,SAR_DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,-25.14849833717424,-22.64126563716313,-24.21215083547361,-21.68614138317466,14.507232700011109,14.52600945229895,1191.0,1188.0,1.0,1.0,2.0,2.0,3.0,3.0,11.0,12.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.5654857393049149,0.3332502072041841,26.0,26.0,5.033242152310059,0.9457358778445482,0,1,0,0,3,3,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,01_supported_concordant,SUPPORTED_CONCORDANT_THEN_NARROWEST_AVAILABLE,REQUESTED_CATEGORY_UNAVAILABLE_DETERMINISTIC_FALLBACK
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,R02ZF_SARF000482__Q095__R0012,R02ZF_SARF000483__Q095__R0008,0.9041378043660788,,LARGE_Q4,LARGE_Q4,-28.10641288757324,-18.552379608154297,-27.91763496398925,-18.647157669067383,-9.365255355834954,9.459255218505856,False,False,False,False,True,False,False,False,H_E7BCFB50E3A6064988F1,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_AVAILABLE,290.0,291.0,16111.0,16167.0,-1.5708851983104817,3.4623569539995778,OPTICAL_DIRECTION_INDETERMINATE,SAR_DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,-25.14849833717424,-22.64126563716313,-24.21215083547361,-21.68614138317466,14.507232700011109,14.52600945229895,1191.0,1188.0,1.0,1.0,2.0,2.0,3.0,3.0,11.0,12.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.5654857393049149,0.3332502072041841,26.0,26.0,5.033242152310059,0.9457358778445482,0,1,0,0,3,3,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,02_supported_contradictory,SUPPORTED_CONTRADICTORY_THEN_NARROWEST_AVAILABLE,REQUESTED_CATEGORY_UNAVAILABLE_DETERMINISTIC_FALLBACK
R02ZF,NOMINAL,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__Q095__R0006,R02ZF_SARF000473__Q095__R0009,0.2649948250534188,,LARGE_Q4,MEDIUM_Q3,-36.04598236083984,-23.38577651977539,-32.97560119628906,-28.719215393066406,-9.589824676513672,7.32676696777343,False,False,False,False,True,False,False,False,H_227FF2A7A656841D0AEB,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_AVAILABLE,283.0,284.0,15722.0,15778.0,-1.8311605734407088,3.622935049508907,OPTICAL_DIRECTION_INDETERMINATE,SAR_DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,-31.25874030197656,-28.59199879017525,-30.42315936361596,-27.63580525246765,14.666741511801307,14.787354111148307,1404.0,394.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,9.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.2094901057682925,1.817925986635924,26.0,26.0,5.454095622949616,0.8958872380340974,2,2,0,0,1,1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,03_supported_indeterminate,SUPPORTED_INDETERMINATE,REQUESTED_CATEGORY_AVAILABLE
R02ZF,SAR_SHIFT_PLUS_1,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0023__TO__R02ZF_SARF000473__Q095__R0010,R02ZF_SARF000472__Q095__R0023,R02ZF_SARF000473__Q095__R0010,0.0,,LARGE_Q4,MEDIUM_Q3,-35.34282684326172,-31.116735458374023,-28.103212356567383,-24.745689392089844,3.0135231018066406,10.597137451171877,False,False,False,False,True,False,False,False,H_02A48CB0771A4845EAF6,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON017,True,,ANGULAR_DYNAMIC_UNAVAILABLE_SAME_OPTICAL_SAMPLE,284.0,284.0,15778.0,15778.0,-2.6810873281370107,2.6810873281370107,OPTICAL_DIRECTION_UNAVAILABLE,SAR_POSITIVE,DIRECTION_UNAVAILABLE,-33.905820501821715,-31.224733173684704,-33.905820501821715,-31.224733173684704,14.68108732813701,14.68108732813701,660.0,399.0,1.0,0.9130434782608696,2.0,2.0,2.0,2.0,9.0,9.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.6645043130646613,6.1408259634245965,26.0,26.0,5.362174656274021,0.0,2,2,0,2,2,1,PRE_REFERENCE_OTHER,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,04_same_optical_sample,SAME_SAMPLE_LOWEST_PAIR,REQUESTED_CATEGORY_AVAILABLE
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0014__TO__R02ZF_SARF000473__Q095__R0021,R02ZF_SARF000472__Q095__R0014,R02ZF_SARF000473__Q095__R0021,0.0,,MEDIUM_Q3,LARGE_Q4,-28.004493713378903,-25.09160804748535,-35.67938232421875,-30.91593360900879,-10.587774276733398,-2.9114398956298864,False,False,False,False,True,False,False,False,H_000BADB4A169E79D4C31,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_UNAVAILABLE_FRAGMENT_BREAK,284.0,285.0,15778.0,15833.0,1.6772520740896475,7.059973415748392,OPTICAL_DIRECTION_UNAVAILABLE,SAR_NEGATIVE,DIRECTION_UNAVAILABLE,-33.905820501821715,-31.224733173684704,-29.547481099595057,-26.845847086073324,14.68108732813701,14.701634013521735,298.0,687.0,0.9802631578947368,0.989913544668588,2.0,2.0,2.0,2.0,9.0,10.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,6.017225957321081,5.100993873779579,26.0,26.0,5.382721341658744,4.36861274491902,2,2,2,2,1,1,PRE_REFERENCE_OTHER,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,05_raw_fragment_break,FRAGMENT_BREAK_LOWEST_PAIR,REQUESTED_CATEGORY_AVAILABLE
R02ZF,SAR_SHIFT_PLUS_1,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0026,R02ZF_SARF000482__Q095__R0012,R02ZF_SARF000483__Q095__R0026,0.0,,LARGE_Q4,SMALL_Q2,-28.10641288757324,-18.552379608154297,-26.313793182373047,-24.67486572265625,-7.76141357421875,3.4315471649169886,False,False,False,False,True,False,False,False,H_37BFF458A1C706B9ECB2,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_UNAVAILABLE_SAME_OPTICAL_SAMPLE,290.0,290.0,16111.0,16111.0,-2.5072327000111088,2.5072327000111088,OPTICAL_DIRECTION_UNAVAILABLE,SAR_DIRECTION_INDETERMINATE,DIRECTION_UNAVAILABLE,-25.14849833717424,-22.64126563716313,-25.14849833717424,-22.64126563716313,14.507232700011109,14.507232700011109,1191.0,136.0,1.0,1.0,2.0,2.0,3.0,2.0,11.0,9.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.5654857393049149,1.599447465345964,26.0,26.0,5.0144654000222175,0.0,0,0,0,0,2,2,FROZEN_MATCHED_SAR_NULL,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,06_matched_wrong_concordant,MATCHED_CONCORDANT_THEN_FIRST_MATCHED,REQUESTED_CATEGORY_UNAVAILABLE_DETERMINISTIC_FALLBACK
R02ZF,SAR_SHIFT_PLUS_1,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0026,R02ZF_SARF000482__Q095__R0012,R02ZF_SARF000483__Q095__R0026,0.0,,LARGE_Q4,SMALL_Q2,-28.10641288757324,-18.552379608154297,-26.313793182373047,-24.67486572265625,-7.76141357421875,3.4315471649169886,False,False,False,False,True,False,False,False,H_37BFF458A1C706B9ECB2,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_UNAVAILABLE_SAME_OPTICAL_SAMPLE,290.0,290.0,16111.0,16111.0,-2.5072327000111088,2.5072327000111088,OPTICAL_DIRECTION_UNAVAILABLE,SAR_DIRECTION_INDETERMINATE,DIRECTION_UNAVAILABLE,-25.14849833717424,-22.64126563716313,-25.14849833717424,-22.64126563716313,14.507232700011109,14.507232700011109,1191.0,136.0,1.0,1.0,2.0,2.0,3.0,2.0,11.0,9.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.5654857393049149,1.599447465345964,26.0,26.0,5.0144654000222175,0.0,0,0,0,0,2,2,FROZEN_MATCHED_SAR_NULL,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,07_matched_wrong_contradictory,MATCHED_CONTRADICTORY_THEN_FIRST_MATCHED,REQUESTED_CATEGORY_UNAVAILABLE_DETERMINISTIC_FALLBACK
R02ZF,SAR_SHIFT_PLUS_1,18,R02ZF_SARF000490,R02ZF_SARF000491,490,491,R02ZF_SARF000490__R02ZF_SARF000490__Q095__R0012__TO__R02ZF_SARF000491__Q095__R0003,R02ZF_SARF000490__Q095__R0012,R02ZF_SARF000491__Q095__R0003,0.0,,LARGE_Q4,LARGE_Q4,-24.951801300048828,-6.618508815765381,-23.409751892089844,-18.416059494018555,-16.791243076324463,6.535741806030273,False,False,False,False,True,False,False,False,H_02DA972C02CDBBAD850E,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON018,True,,ANGULAR_DYNAMIC_UNAVAILABLE_SAME_OPTICAL_SAMPLE,295.0,295.0,16389.0,16389.0,-2.4356997350590426,2.4356997350590426,OPTICAL_DIRECTION_UNAVAILABLE,SAR_DIRECTION_INDETERMINATE,DIRECTION_UNAVAILABLE,-20.6752027976416,-18.23950306258256,-20.6752027976416,-18.23950306258256,14.435699735059044,14.435699735059044,1458.0,743.0,0.7763578274760383,1.0,3.0,3.0,4.0,4.0,16.0,18.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,3.672197872204976,1.4555527629421192,26.0,26.0,4.871399470118085,-1.7763568394002505e-15,0,0,1,0,1,2,PRE_REFERENCE_OTHER,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,08_split_like_sar,FROZEN_SPLIT_CASE_THEN_MULTI_TOPOLOGY,REQUESTED_CATEGORY_UNAVAILABLE_DETERMINISTIC_FALLBACK
R02ZF,NOMINAL,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__Q095__R0006,R02ZF_SARF000473__Q095__R0009,0.2649948250534188,,LARGE_Q4,MEDIUM_Q3,-36.04598236083984,-23.38577651977539,-32.97560119628906,-28.719215393066406,-9.589824676513672,7.32676696777343,False,False,False,False,True,False,False,False,H_12D3C5153561E97EAA4F,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON017,True,,ANGULAR_DYNAMIC_UNAVAILABLE_FRAGMENT_BREAK,283.0,284.0,15722.0,15778.0,-5.313821711646465,0.0340071282918543,OPTICAL_DIRECTION_UNAVAILABLE,SAR_DIRECTION_INDETERMINATE,DIRECTION_UNAVAILABLE,-31.25874030197656,-28.59199879017525,-33.905820501821715,-31.224733173684704,14.666741511801307,14.68108732813701,1404.0,394.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,9.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,0.2094901057682925,1.717868543075479,26.0,26.0,5.34782883993832,-2.639907291677305,2,2,0,0,1,1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,09_merge_or_shared_sar,FROZEN_MERGE_OR_SHARED_SUPPORTED,REQUESTED_CATEGORY_AVAILABLE
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0032__TO__R02ZF_SARF000473__Q095__R0044,R02ZF_SARF000472__Q095__R0032,R02ZF_SARF000473__Q095__R0044,0.0,,SMALL_Q2,TINY_Q1,-30.4141845703125,-29.23470115661621,-39.668792724609375,-36.91234588623047,-10.434091567993164,-6.498161315917969,False,False,False,False,True,False,False,False,H_00AD02847316ECE41907,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON017,True,,ANGULAR_DYNAMIC_AVAILABLE,284.0,285.0,15778.0,15833.0,-1.7527000496695777,3.598244686276839,OPTICAL_DIRECTION_INDETERMINATE,SAR_NEGATIVE,DIRECTION_INDETERMINATE,-33.905820501821715,-31.224733173684704,-32.97743322335428,-30.30757581554488,14.68108732813701,14.669857407809406,82.0,48.0,1.0,0.8,2.0,1.0,2.0,2.0,9.0,10.0,MULTIPLE_SHELLS_MULTIPLE_REGIONS,MULTIPLE_SHELLS_MULTIPLE_REGIONS,2.7408339742888543,6.648064785970341,26.0,26.0,5.350944735946417,0.9227723183036288,2,2,1,2,3,1,PRE_REFERENCE_OTHER,False,M0B1_POST_REFERENCE_RAW_FRAGMENT_EVALUATION_INTERFACE_NOT_ESTABLISHED,False,10_timing_state_change,TIMING_STATE_CHANGE_THEN_FIRST,REQUESTED_CATEGORY_AVAILABLE
