timing_condition,evaluation_group,sar_only_retention_quartile,cross_modal_direction_state,hypothesis_count
NOMINAL,FROZEN_MATCHED_SAR_NULL,Q1,DIRECTION_INDETERMINATE,31
NOMINAL,FROZEN_MATCHED_SAR_NULL,Q3,DIRECTION_INDETERMINATE,2
NOMINAL,FROZEN_MATCHED_SAR_NULL,Q4,DIRECTION_INDETERMINATE,2
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,Q3,DIRECTION_INDETERMINATE,1
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,Q4,DIRECTION_INDETERMINATE,9
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q1,DIRECTION_INDETERMINATE,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q2,DIRECTION_INDETERMINATE,29
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q3,DIRECTION_INDETERMINATE,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q4,DIRECTION_INDETERMINATE,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,Q4,DIRECTION_INDETERMINATE,9
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q2,DIRECTION_INDETERMINATE,4
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q3,DIRECTION_INDETERMINATE,28
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,Q4,DIRECTION_INDETERMINATE,2
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,Q4,DIRECTION_INDETERMINATE,9
