run_id,timing_condition,sar_frame_uid,sar_frame_index,sar_timestamp_ms,optical_query_frame_index,optical_query_timestamp_ms,query_semantics,query_available,raw_observation_count,query_timestamp_matches_decoded_frame,sync_status,reference_used
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000476,476,15867,285.0,15833.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000477,477,15900,286.0,15889.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000478,478,15933,286.0,15889.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000479,479,15967,287.0,15944.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000480,480,16000,287.0,15944.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000481,481,16033,288.0,16000.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000482,482,16067,289.0,16056.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000483,483,16100,289.0,16056.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000484,484,16133,290.0,16111.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,SAR_SHIFT_MINUS_1,R02ZF_SARF000485,485,16167,290.0,16111.0,QUERY_FROM_FIXED_SHIFTED_SAR_FRAME,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
