run_id,timing_condition,frame_uid,frame_index,optical_query_frame_index,optical_query_timestamp_ms,optical_observation_frame_index,optical_observation_timestamp_ms,track_id,region_id,region_label,raw_theta_low_deg,raw_theta_high_deg,guarded_theta_low_deg,guarded_theta_high_deg,raw_width_deg,effective_shell_width_deg,intersection_pixel_count,region_pixel_count,region_coverage_fraction,region_area_stratum,region_theta_min_deg,region_theta_max_deg,region_theta_mid_deg,initial_theta_midpoint_gap_abs_deg,touches_observable_boundary,has_truncated_support,fragment_observation_count_full_run,pixel_intersection_used,reference_used,physical_target_id_used,optical_person_id_used,shell_degree_region_count,region_degree_shell_count,component_id,component_shell_count,component_region_count,component_edge_count,static_topology_state
R02ZF,NOMINAL,R02ZF_SARF000472,472,283,15722,283,15722,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARF000472__Q095__R0023,23,-31.25874030197656,-28.59199879017525,-37.25874030197656,-22.59199879017525,2.666741511801309,14.666741511801309,660,660,1.0,LARGE_Q4,-35.34282684326172,-31.116735458374023,-33.22978115081787,3.304411604741965,False,False,26,True,False,False,False,6,2,R02ZF_SARF000472__NOMINAL__Q095__C0001,2,7,13,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000472,472,283,15722,283,15722,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARF000472__Q095__R0032,32,-31.25874030197656,-28.59199879017525,-37.25874030197656,-22.59199879017525,2.666741511801309,14.666741511801309,82,82,1.0,SMALL_Q2,-30.4141845703125,-29.23470115661621,-29.824442863464355,0.10092668261155069,False,False,26,True,False,False,False,6,2,R02ZF_SARF000472__NOMINAL__Q095__C0001,2,7,13,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000472,472,283,15722,283,15722,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARF000472__Q095__R0059,59,-31.25874030197656,-28.59199879017525,-37.25874030197656,-22.59199879017525,2.666741511801309,14.666741511801309,1,1,1.0,TINY_Q1,-32.15232849121094,-32.15232849121094,-32.15232849121094,2.2269589451350313,False,False,26,True,False,False,False,6,2,R02ZF_SARF000472__NOMINAL__Q095__C0001,2,7,13,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0007,7,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,279,545,0.5119266055045871,MEDIUM_Q3,-27.497255325317383,-22.77695083618164,-25.13710308074951,7.428173757003698,False,False,26,True,False,False,False,8,2,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0009,9,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,394,394,1.0,MEDIUM_Q3,-32.97560119628906,-28.719215393066406,-30.84740829467773,1.717868543075479,False,False,26,True,False,False,False,8,2,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0010,10,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,399,437,0.9130434782608695,MEDIUM_Q3,-28.103212356567383,-24.745689392089844,-26.424450874328613,6.1408259634245965,False,False,26,True,False,False,False,8,2,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0014,14,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,616,616,1.0,LARGE_Q4,-36.04598236083984,-30.02433204650879,-33.03515720367432,0.4698803659211137,False,False,26,True,False,False,False,8,2,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0021,21,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,694,694,1.0,LARGE_Q4,-35.67938232421875,-30.91593360900879,-33.29765796661377,0.7323811288605597,False,False,26,True,False,False,False,8,2,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0031,31,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,71,71,1.0,SMALL_Q2,-30.15237045288086,-29.18650245666504,-29.66943645477295,2.8958403829802606,False,False,26,True,False,False,False,8,2,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
R02ZF,NOMINAL,R02ZF_SARF000473,473,284,15778,284,15778,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARF000473__Q095__R0044,44,-33.905820501821715,-31.224733173684704,-39.905820501821715,-25.224733173684704,2.6810873281370107,14.68108732813701,60,60,1.0,TINY_Q1,-39.668792724609375,-36.91234588623047,-38.29056930541992,5.725292467666712,False,False,26,True,False,False,False,8,1,R02ZF_SARF000473__NOMINAL__Q095__C0001,2,9,15,MULTIPLE_SHELLS_MULTIPLE_REGIONS
