timing_condition,evaluation_group,raw_fragment_cluster,N_total_hypothesis_records,N_hard_feasible,N_dynamic_available,N_same_optical_sample,N_fragment_break,N_observation_unavailable,N_static_shell_infeasible,N_direction_indeterminate,N_direction_concordant,N_direction_contradictory,N_direction_unavailable,dynamic_availability_rate_of_total,determinate_direction_rate_of_dynamic_available
NOMINAL,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,5,5,0,0,5,0,0,0,0,0,5,0.0,0.0
NOMINAL,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON018,6,6,0,0,6,0,0,0,0,0,6,0.0,0.0
NOMINAL,FROZEN_MATCHED_SAR_NULL,R02ZF_REUSED_R02ZF_PERSON021,4,4,4,0,0,0,0,4,0,0,0,1.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON021,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON023,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON017__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON024,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON023,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON021__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON024,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,R02ZF_REUSED_R02ZF_PERSON023__BREAK_TO__R02ZF_REUSED_R02ZF_PERSON017,1,1,0,0,1,0,0,0,0,0,1,0.0,0.0
