primary_hypothesis_id,control_hypothesis_id,control_family,static_distance,direction_used_for_selection,reference_used_for_selection
H_24BEC56B1757E171149F,H_D4C26614CE88858690A9,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,2.1039932841890923,False,False
H_D4C26614CE88858690A9,H_24BEC56B1757E171149F,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,2.1039932841890923,False,False
H_227FF2A7A656841D0AEB,H_D5FFADBB5BE6ABBB8150,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.1949614060994551,False,False
H_D5FFADBB5BE6ABBB8150,H_227FF2A7A656841D0AEB,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.1949614060994551,False,False
H_0D3C25D780231A6BD001,H_A62CA7B5B88A91F83DDB,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8026634351230308,False,False
H_A62CA7B5B88A91F83DDB,H_0D3C25D780231A6BD001,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8026634351230308,False,False
H_33DAD23F5BAB45905B40,H_A4F297B7AB8CDE2B465F,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,2.022618397742549,False,False
H_A4F297B7AB8CDE2B465F,H_33DAD23F5BAB45905B40,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,2.022618397742549,False,False
H_93E3E262CF7C5B4996D1,H_C7CF49FF5D822B45C897,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.968330927259883,False,False
H_C7CF49FF5D822B45C897,H_93E3E262CF7C5B4996D1,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.968330927259883,False,False
H_48A0754E6C93243119B6,H_90332982A1040C2A4F64,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9189312456618466,False,False
H_90332982A1040C2A4F64,H_48A0754E6C93243119B6,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9189312456618466,False,False
H_09A096BCB68C0E6A1FEB,H_EFAF0FB9BD80C90B04BC,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9493273435397511,False,False
H_EFAF0FB9BD80C90B04BC,H_09A096BCB68C0E6A1FEB,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9493273435397511,False,False
H_491B81DA590F7A457D65,H_6CC0BD1470EE51EADAED,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.0402954654501138,False,False
H_6CC0BD1470EE51EADAED,H_491B81DA590F7A457D65,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.0402954654501138,False,False
H_8A0F02509C52D15A5673,H_A5A08DEFA412B9EC4455,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6479974944736897,False,False
H_A5A08DEFA412B9EC4455,H_8A0F02509C52D15A5673,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6479974944736897,False,False
H_41BE9C60A4945C91F5ED,H_F9DE4FF3E2D377588867,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.867952457093208,False,False
H_F9DE4FF3E2D377588867,H_41BE9C60A4945C91F5ED,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.867952457093208,False,False
H_21B30F423BCCCCA759DF,H_9F3B88D1AC9682391A9D,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8136649866105417,False,False
H_9F3B88D1AC9682391A9D,H_21B30F423BCCCCA759DF,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8136649866105417,False,False
H_4E91436BC5913335BF3D,H_55C71E2FA1A5E2D454CF,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7642653050125054,False,False
H_55C71E2FA1A5E2D454CF,H_4E91436BC5913335BF3D,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7642653050125054,False,False
H_0A328DE7B1412E0B22AD,H_B99C633037925A70CEA4,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8403172197465754,False,False
H_B99C633037925A70CEA4,H_0A328DE7B1412E0B22AD,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8403172197465754,False,False
H_752A035CCF5D5C9E24F4,H_BD42456D22D7E55F701A,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,0.9312853416569383,False,False
H_BD42456D22D7E55F701A,H_752A035CCF5D5C9E24F4,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,0.9312853416569383,False,False
H_090C29A2C2C49E74BA26,H_B7BBC77DC69C28AEAB9C,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.538987370680514,False,False
H_B7BBC77DC69C28AEAB9C,H_090C29A2C2C49E74BA26,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.538987370680514,False,False
H_03572220BBD0FE5621F8,H_6BE0AA7B228077C88998,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7589423333000327,False,False
H_6BE0AA7B228077C88998,H_03572220BBD0FE5621F8,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7589423333000327,False,False
H_2FF29F8E9FD842500EAD,H_338504FB6B7BFEB4E8AB,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7046548628173661,False,False
H_338504FB6B7BFEB4E8AB,H_2FF29F8E9FD842500EAD,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7046548628173661,False,False
H_425ED7DA70C2B1A2AE3F,H_AA5A33866D2866E5E3AF,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6552551812193301,False,False
H_AA5A33866D2866E5E3AF,H_425ED7DA70C2B1A2AE3F,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6552551812193301,False,False
H_2F0E5A5B8ED7A8D1BB5D,H_A4C44BBF1550F69A5D6B,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9017328406173672,False,False
H_A4C44BBF1550F69A5D6B,H_2F0E5A5B8ED7A8D1BB5D,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9017328406173672,False,False
H_67E735745E99E0CF4286,H_A5EC803B0C0BB06D36E2,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,0.9927009625277298,False,False
H_A5EC803B0C0BB06D36E2,H_67E735745E99E0CF4286,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,0.9927009625277298,False,False
H_1D082875F2213FE2DA33,H_E0295A73C34260075725,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6004029915513058,False,False
H_E0295A73C34260075725,H_1D082875F2213FE2DA33,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6004029915513058,False,False
H_1C0C7267A5061061AF4F,H_B03B011CD5DF74420E38,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8203579541708241,False,False
H_B03B011CD5DF74420E38,H_1C0C7267A5061061AF4F,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.8203579541708241,False,False
H_05D750D9C09A4B72C6B0,H_A587F187C2D14A6256E7,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7660704836881578,False,False
H_A587F187C2D14A6256E7,H_05D750D9C09A4B72C6B0,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7660704836881578,False,False
H_3EE32264810C3E2E4720,H_8B3958E5E35D5365E981,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7166708020901216,False,False
H_8B3958E5E35D5365E981,H_3EE32264810C3E2E4720,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.7166708020901216,False,False
H_92CA79B49578D2AA860E,H_A3DA2AB4F356BE00643B,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9455299539637778,False,False
H_A3DA2AB4F356BE00643B,H_92CA79B49578D2AA860E,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.9455299539637778,False,False
H_A5298A444B195C9AC228,H_B2BD5D4086F4CDDC0B22,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.0364980758741407,False,False
H_B2BD5D4086F4CDDC0B22,H_A5298A444B195C9AC228,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.0364980758741407,False,False
H_5D8F7378C5903BE4AA79,H_E159208492A9CA89BF05,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6442001048977164,False,False
H_E159208492A9CA89BF05,H_5D8F7378C5903BE4AA79,GT_BLIND_ALTERNATIVE_RAW_FRAGMENT_NOT_KNOWN_WRONG,1.6442001048977164,False,False
