run_id,sar_frame_index,sar_timestamp_ms,sar_image_path,optical_frame_index,optical_timestamp_ms,optical_image_path,timestamp_residual_ms,sync_status
R02ZF,10,333,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000010_t000333ms.jpg,6,333,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000006_t000333ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,11,367,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000011_t000367ms.jpg,7,389,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000007_t000389ms.jpg,22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,12,400,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000012_t000400ms.jpg,7,389,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000007_t000389ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,13,433,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000013_t000433ms.jpg,8,444,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000008_t000444ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,14,467,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000014_t000467ms.jpg,8,444,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000008_t000444ms.jpg,-23,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,15,500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000015_t000500ms.jpg,9,500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000009_t000500ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,16,533,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000016_t000533ms.jpg,10,556,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000010_t000556ms.jpg,23,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,17,567,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000017_t000567ms.jpg,10,556,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000010_t000556ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,18,600,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000018_t000600ms.jpg,11,611,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000011_t000611ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
R02ZF,19,633,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000019_t000633ms.jpg,11,611,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000011_t000611ms.jpg,-22,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED
