run_id,tree_id,competition_rank,range_hypothesis_center_m,sar_frame_index,sar_timestamp_ms,region_id,theta_pred_deg,theta_sar_deg,theta_residual_deg,range_sar_m,score_max,manual_person_reference_used
R02ZF,TREE_A_USER_F120,1,14.5,140,4667,R02ZF_SARF000140__Q095__R0038,35.4428401892913,31.821234269309528,-3.621605919981775,14.441701772341657,0.591366708278656,False
R02ZF,TREE_A_USER_F120,1,14.5,141,4700,R02ZF_SARF000141__Q095__R0032,33.25729362228607,29.103185456998446,-4.154108165287624,14.034060826775526,0.629409909248352,False
R02ZF,TREE_A_USER_F120,1,14.5,142,4733,R02ZF_SARF000142__Q095__R0033,31.681815593566938,29.929858255959903,-1.7519573376070348,14.182391987724651,0.6263816356658936,False
R02ZF,TREE_A_USER_F120,1,14.5,143,4767,R02ZF_SARF000143__Q095__R0040,31.31570673377908,28.6738483191071,-2.6418584146719795,13.870189826258214,0.6051195859909058,False
R02ZF,TREE_A_USER_F120,1,14.5,144,4800,R02ZF_SARF000144__Q095__R0030,30.786196438574976,28.918940045854306,-1.8672563927206696,14.076407978624665,0.6565214991569519,False
R02ZF,TREE_A_USER_F120,1,14.5,145,4833,R02ZF_SARF000145__Q095__R0022,30.169601471842313,30.48431148977874,0.3147100179364273,14.32529611360122,0.7089866399765015,False
R02ZF,TREE_A_USER_F120,1,14.5,146,4867,R02ZF_SARF000146__Q095__R0026,29.30820226929322,29.929972443852797,0.621770174559579,14.43561610150283,0.6807655096054077,False
R02ZF,TREE_A_USER_F120,1,14.5,147,4900,R02ZF_SARF000147__Q095__R0067,28.48252158565427,28.511201808293826,0.02868022263955794,14.578839988938753,0.532262921333313,False
R02ZF,TREE_A_USER_F120,1,14.5,148,4933,R02ZF_SARF000148__Q095__R0024,27.677607398509238,31.3656501213711,3.688042722861862,14.339563325587665,0.6693040132522583,False
R02ZF,TREE_A_USER_F120,1,14.5,149,4967,R02ZF_SARF000149__Q095__R0022,26.641476112795075,30.660396458703378,4.0189203459083025,14.518547568312632,0.7232887148857117,False
R02ZF,TREE_A_USER_F120,1,14.5,153,5100,R02ZF_SARF000153__Q095__R0047,22.334428554797853,19.851395984541117,-2.4830325702567357,14.666186823917023,0.5551685094833374,False
R02ZF,TREE_A_USER_F120,1,14.5,155,5167,R02ZF_SARF000155__Q095__R0045,21.42695964443709,20.75104102524015,-0.675918619196942,14.747275594715587,0.5819922685623169,False
R02ZF,TREE_A_USER_F120,1,14.5,156,5200,R02ZF_SARF000156__Q095__R0038,20.526085489079506,21.122079733386776,0.5959942443072705,14.834690715327925,0.6295432448387146,False
R02ZF,TREE_A_USER_F120,1,14.5,157,5233,R02ZF_SARF000157__Q095__R0038,19.88630063867261,21.269148635302436,1.3828479966298275,14.815780087884757,0.6275230050086975,False
R02ZF,TREE_A_USER_F120,1,14.5,158,5267,R02ZF_SARF000158__Q095__R0031,19.76513057269719,21.893690264887017,2.128559692189828,14.893749315815835,0.6759850382804871,False
R02ZF,TREE_A_USER_F120,1,14.5,159,5300,R02ZF_SARF000159__Q095__R0021,19.57590531797122,17.941828670861984,-1.6340766471092358,14.372520150897037,0.7405396103858948,False
R02ZF,TREE_A_USER_F120,1,14.5,160,5333,R02ZF_SARF000160__Q095__R0038,19.350870556135064,18.074742472912167,-1.276128083222897,14.439018234742653,0.6443946361541748,False
R02ZF,TREE_A_USER_F120,1,14.5,161,5367,R02ZF_SARF000161__Q095__R0039,17.001567297292972,18.67064516834284,1.6690778710498684,14.500949966085692,0.6252357363700867,False
R02ZF,TREE_A_USER_F120,1,14.5,162,5400,R02ZF_SARF000162__Q095__R0037,15.456951399422373,15.365545422928932,-0.09140597649344073,14.344790870894327,0.6252342462539673,False
R02ZF,TREE_A_USER_F120,1,14.5,163,5433,R02ZF_SARF000163__Q095__R0053,15.383515914151047,16.251488694306076,0.8679727801550285,14.300183557939611,0.5794854760169983,False
R02ZF,TREE_A_USER_F120,1,14.5,164,5467,R02ZF_SARF000164__Q095__R0045,14.874490605584683,16.86324143176231,1.988750826177629,14.205126562926502,0.5896934866905212,False
R02ZF,TREE_A_USER_F120,1,14.5,168,5600,R02ZF_SARF000168__Q095__R0046,12.659841487363806,12.57995733745802,-0.07988414990578718,13.943573658455628,0.59246826171875,False
R02ZF,TREE_A_USER_F120,1,14.5,169,5633,R02ZF_SARF000169__Q095__R0043,12.180783017221046,17.057495471337145,4.876712454116099,14.416962935753167,0.5921638011932373,False
