run_id,sar_frame_index,sar_timestamp_ms,pair_id,theta_overlap_fraction,delta_r_median_m,delta_r_p90_absdev_m,delta_r_theta_p90_minus_p10_m,ordering_a_before_b_fraction,pair_available,manual_person_reference_used
R02ZF,0,0,PARALLEL_BOUNDARY_PAIR_A_B,0.7472527472527473,2.0999979972839355,0.8499994277954102,1.349998950958252,1.0,False,False
R02ZF,1,33,PARALLEL_BOUNDARY_PAIR_A_B,0.6043956043956044,2.0999979972839355,0.8099991798400881,1.2299991607666017,1.0,False,False
R02ZF,2,67,PARALLEL_BOUNDARY_PAIR_A_B,0.5384615384615384,2.0999979972839355,0.8499990463256836,1.0999985694885255,1.0,False,False
R02ZF,3,100,PARALLEL_BOUNDARY_PAIR_A_B,0.46153846153846156,2.074997901916504,0.7199994087219238,1.2849987506866454,1.0,False,False
R02ZF,4,133,PARALLEL_BOUNDARY_PAIR_A_B,0.6373626373626373,2.074997901916504,0.9249987602233887,1.444998693466187,1.0,False,False
R02ZF,5,167,PARALLEL_BOUNDARY_PAIR_A_B,0.5714285714285714,1.949998378753662,0.9949990272521972,1.5449987411499024,1.0,False,False
R02ZF,6,200,PARALLEL_BOUNDARY_PAIR_A_B,0.5054945054945055,2.0999979972839355,0.849999189376831,1.1249988079071045,1.0,False,False
R02ZF,7,233,PARALLEL_BOUNDARY_PAIR_A_B,0.43956043956043955,1.9999980926513672,0.8549993991851808,1.2099992752075197,1.0,False,False
R02ZF,8,267,PARALLEL_BOUNDARY_PAIR_A_B,0.5824175824175825,2.249997615814209,1.0999991416931163,1.0899993896484377,1.0,False,False
R02ZF,9,300,PARALLEL_BOUNDARY_PAIR_A_B,0.4065934065934066,2.0999979972839355,0.7999991416931153,1.379998970031738,1.0,False,False
R02ZF,10,333,PARALLEL_BOUNDARY_PAIR_A_B,0.5714285714285714,2.1499979496002197,0.7499997615814209,0.9949995040893556,1.0,False,False
R02ZF,11,367,PARALLEL_BOUNDARY_PAIR_A_B,0.5384615384615384,2.0999984741210938,0.9999995231628418,1.0099989891052248,1.0,False,False
R02ZF,12,400,PARALLEL_BOUNDARY_PAIR_A_B,0.6043956043956044,2.1499977111816406,0.8399990081787115,1.2699988365173347,1.0,False,False
R02ZF,13,433,PARALLEL_BOUNDARY_PAIR_A_B,0.5054945054945055,2.199997901916504,0.974999189376831,1.2499985694885254,1.0,False,False
R02ZF,14,467,PARALLEL_BOUNDARY_PAIR_A_B,0.4945054945054945,2.0499978065490723,0.7799993515014649,1.2299986839294434,1.0,False,False
R02ZF,15,500,PARALLEL_BOUNDARY_PAIR_A_B,0.4835164835164835,1.9749982357025146,0.6599990844726564,1.1049986362457276,1.0,False,False
R02ZF,16,533,PARALLEL_BOUNDARY_PAIR_A_B,0.4835164835164835,2.074998140335083,0.674999475479126,0.9849989891052249,1.0,False,False
R02ZF,17,567,PARALLEL_BOUNDARY_PAIR_A_B,0.4175824175824176,2.0999982357025146,0.9149992942810061,1.204999113082886,1.0,False,False
R02ZF,18,600,PARALLEL_BOUNDARY_PAIR_A_B,0.5824175824175825,2.149998188018799,0.6999998092651367,0.989999580383301,1.0,False,False
R02ZF,19,633,PARALLEL_BOUNDARY_PAIR_A_B,0.5824175824175825,2.1499977111816406,0.8799992561340336,1.0799992561340337,1.0,False,False
R02ZF,20,667,PARALLEL_BOUNDARY_PAIR_A_B,0.7142857142857143,2.0499978065490723,0.859999465942383,1.129998779296875,1.0,False,False
R02ZF,21,700,PARALLEL_BOUNDARY_PAIR_A_B,0.7142857142857143,2.0499982833862305,0.5499995231628418,0.8799992561340333,1.0,False,False
R02ZF,22,733,PARALLEL_BOUNDARY_PAIR_A_B,0.5934065934065934,2.0999979972839355,0.7849988460540773,0.9999989032745362,1.0,False,False
