run_id,tree_id,range_hypothesis_center_m,available_sar_frames,matched_frames,persistence_fraction,median_abs_theta_residual_deg,p90_abs_theta_residual_deg,matched_range_iqr_m,trajectory_score,manual_person_reference_used
R02ZF,TREE_A_USER_F120,3.5,108,7,0.06481481481481481,1.6599063473418907,4.2221181751198165,0.5052022092101591,0.022848448955462182,False
R02ZF,TREE_A_USER_F120,3.75,108,9,0.08333333333333333,1.6599063473418907,4.052146501790768,0.6056247968143662,0.029017047250421965,False
R02ZF,TREE_A_USER_F120,4.0,108,11,0.10185185185185185,1.9544688085857995,4.536466716533154,0.8969442885372407,0.03116260964610603,False
R02ZF,TREE_A_USER_F120,4.25,108,12,0.1111111111111111,1.873279440966349,4.474182950631422,0.9004354895073403,0.03484819996472253,False
R02ZF,TREE_A_USER_F120,4.5,108,13,0.12037037037037036,2.278607541174975,4.480160761672892,0.19277927914105586,0.035973545156880914,False
R02ZF,TREE_A_USER_F120,4.75,108,12,0.1111111111111111,2.1165381748803873,4.508313739103023,0.1981345428826664,0.034876055436030014,False
R02ZF,TREE_A_USER_F120,5.0,108,15,0.1388888888888889,2.413232248207244,4.47595197723035,0.6571488840909971,0.038122414111973944,False
R02ZF,TREE_A_USER_F120,5.25,108,18,0.16666666666666666,2.3459198946911095,4.430565922753248,1.022190007323874,0.0450002102743408,False
R02ZF,TREE_A_USER_F120,5.5,108,17,0.1574074074074074,2.413232248207244,4.4456946075789485,1.0283929019039872,0.04171755241826402,False
R02ZF,TREE_A_USER_F120,5.75,108,10,0.09259259259259259,2.102661160777071,4.422816002260033,0.4004233561435431,0.028553202798890884,False
R02ZF,TREE_A_USER_F120,6.0,108,11,0.10185185185185185,2.413232248207244,4.761541208115027,0.34483647451865185,0.02882116950417248,False
R02ZF,TREE_A_USER_F120,6.25,108,13,0.12037037037037036,2.4715893437060563,4.66169210483259,1.081334466882912,0.031264573201556366,False
R02ZF,TREE_A_USER_F120,6.5,108,22,0.2037037037037037,2.6198299911590524,4.414996593672215,0.40530669498681515,0.054152215640206766,False
