run_id,mode,track_id,frame_index,region_id,family_id,family_temporal_semantics
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0002,TERGR2F_550AF5EA89D296FA6E79,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0020,TERGR2F_ADBEC2266C5277AA03B5,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0029,TERGR2F_6D7A8514DB1B952645D5,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0011,TERGR2F_8DB8737978971F4FD1B2,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0041,TERGR2F_DA12E7282E68FD50FB61,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0021,TERGR2F_BD3D9E8F5A350BC76FE5,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0018,TERGR2F_91DF0AB5A03921CA6142,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0034,TERGR2F_466DF749D616F3634C64,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0007,TERGR2F_6B9E7C4801B0FB91459C,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
R01ZF,CAUSAL_REPLAY,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0001,TERGR2F_9F79BA06D3249FED75BE,CAUSAL_PREFIX_FROZEN_P0_CONNECTIVITY
