run_id,frame_uid,frame_index,sar_timestamp_ms,mode,shell_id,track_id,source_observation_count,source_timestamp_min_ms,source_timestamp_max_ms,source_has_future_observation,source_raw_fragment_ids,effective_intervals_json,effective_width_deg,candidate_q95_region_count,timing_window_low_offset_ms,timing_window_high_offset_ms,manual_reference_used,sar_range_assigned_by_optical,strict_runtime_identity_claimed
R01ZF,R01ZF_SARF000004,4,133,FIXED_LAG_100MS,R01ZF_SARF000004__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,5,0,222,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -18.878242980677054]]",26.644307617039683,11,-250,100,False,False,False
R01ZF,R01ZF_SARF000004,4,133,FIXED_LAG_100MS,R01ZF_SARF000004__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,5,0,222,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -12.900673573136284]]",26.102195419756736,13,-250,100,False,False,False
R01ZF,R01ZF_SARF000004,4,133,FULL_CONTEXT_OFFLINE,R01ZF_SARF000004__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,7,0,333,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -15.199614036453905]]",30.322936561262832,14,-250,250,False,False,False
R01ZF,R01ZF_SARF000004,4,133,FULL_CONTEXT_OFFLINE,R01ZF_SARF000004__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,7,0,333,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -9.253859481453638]]",29.749009511439382,14,-250,250,False,False,False
R01ZF,R01ZF_SARF000005,5,167,CAUSAL_REPLAY,R01ZF_SARF000005__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,4,0,167,False,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -20.746874054939024]]",24.775676542777713,13,-250,0,False,False,False
R01ZF,R01ZF_SARF000005,5,167,CAUSAL_REPLAY,R01ZF_SARF000005__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,4,0,167,False,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -14.745070804839543]]",24.257798188053478,15,-250,0,False,False,False
R01ZF,R01ZF_SARF000005,5,167,FIXED_LAG_100MS,R01ZF_SARF000005__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,5,0,222,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -18.878242980677054]]",26.644307617039683,16,-250,100,False,False,False
R01ZF,R01ZF_SARF000005,5,167,FIXED_LAG_100MS,R01ZF_SARF000005__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,5,0,222,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -12.900673573136284]]",26.102195419756736,15,-250,100,False,False,False
R01ZF,R01ZF_SARF000005,5,167,FULL_CONTEXT_OFFLINE,R01ZF_SARF000005__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,8,0,389,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -13.38389541722324]]",32.1386551804935,17,-250,250,False,False,False
R01ZF,R01ZF_SARF000005,5,167,FULL_CONTEXT_OFFLINE,R01ZF_SARF000005__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,8,0,389,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -7.494615968785951]]",31.50825302410707,17,-250,250,False,False,False
R01ZF,R01ZF_SARF000006,6,200,CAUSAL_REPLAY,R01ZF_SARF000006__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,4,0,167,False,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -20.746874054939024]]",24.775676542777713,11,-250,0,False,False,False
R01ZF,R01ZF_SARF000006,6,200,CAUSAL_REPLAY,R01ZF_SARF000006__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,4,0,167,False,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -14.745070804839543]]",24.257798188053478,13,-250,0,False,False,False
R01ZF,R01ZF_SARF000006,6,200,FIXED_LAG_100MS,R01ZF_SARF000006__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,6,0,278,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -17.05099823162981]]",28.47155236608693,14,-250,100,False,False,False
R01ZF,R01ZF_SARF000006,6,200,FIXED_LAG_100MS,R01ZF_SARF000006__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,6,0,278,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -11.096455043329911]]",27.90641394956311,14,-250,100,False,False,False
R01ZF,R01ZF_SARF000006,6,200,FULL_CONTEXT_OFFLINE,R01ZF_SARF000006__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,9,0,444,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -11.598006070415533]]",33.92454452730121,16,-250,250,False,False,False
R01ZF,R01ZF_SARF000006,6,200,FULL_CONTEXT_OFFLINE,R01ZF_SARF000006__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,9,0,444,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -5.686104028860555]]",33.316764964032465,17,-250,250,False,False,False
R01ZF,R01ZF_SARF000007,7,233,CAUSAL_REPLAY,R01ZF_SARF000007__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,5,0,222,False,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -18.878242980677054]]",26.644307617039683,12,-250,0,False,False,False
