run_id,frame_uid,frame_index,mode,active_raw_fragment_shell_count,shell_region_edge_count,q95_region_count_full_fan,negative_optical_time
R01ZF,R01ZF_SARF000056,56,FIXED_LAG_100MS,3,42,54,False
R01ZF,R01ZF_SARF000056,56,FULL_CONTEXT_OFFLINE,3,47,54,False
R01ZF,R01ZF_SARF000057,57,CAUSAL_REPLAY,3,38,44,False
R01ZF,R01ZF_SARF000057,57,FIXED_LAG_100MS,3,42,44,False
R01ZF,R01ZF_SARF000057,57,FULL_CONTEXT_OFFLINE,3,47,44,False
R01ZF,R01ZF_SARF000058,58,CAUSAL_REPLAY,3,40,51,False
R01ZF,R01ZF_SARF000058,58,FIXED_LAG_100MS,3,44,51,False
R01ZF,R01ZF_SARF000058,58,FULL_CONTEXT_OFFLINE,3,49,51,False
R01ZF,R01ZF_SARF000059,59,CAUSAL_REPLAY,3,44,49,False
R01ZF,R01ZF_SARF000059,59,FIXED_LAG_100MS,3,48,49,False
R01ZF,R01ZF_SARF000059,59,FULL_CONTEXT_OFFLINE,3,53,49,False
R01ZF,R01ZF_SARF000060,60,CAUSAL_REPLAY,3,47,52,False
R01ZF,R01ZF_SARF000060,60,FIXED_LAG_100MS,3,49,52,False
R01ZF,R01ZF_SARF000060,60,FULL_CONTEXT_OFFLINE,3,56,52,False
R01ZF,R01ZF_SARF000061,61,CAUSAL_REPLAY,3,58,61,False
R01ZF,R01ZF_SARF000061,61,FIXED_LAG_100MS,3,63,61,False
R01ZF,R01ZF_SARF000061,61,FULL_CONTEXT_OFFLINE,3,71,61,False
R01ZF,R01ZF_SARF000062,62,CAUSAL_REPLAY,3,55,58,False
R01ZF,R01ZF_SARF000062,62,FIXED_LAG_100MS,3,59,58,False
R01ZF,R01ZF_SARF000062,62,FULL_CONTEXT_OFFLINE,3,62,58,False
R01ZF,R01ZF_SARF000063,63,CAUSAL_REPLAY,3,53,56,False
R01ZF,R01ZF_SARF000063,63,FIXED_LAG_100MS,3,54,56,False
R01ZF,R01ZF_SARF000063,63,FULL_CONTEXT_OFFLINE,3,63,56,False
R01ZF,R01ZF_SARF000064,64,CAUSAL_REPLAY,3,52,56,False
R01ZF,R01ZF_SARF000064,64,FIXED_LAG_100MS,3,56,56,False
R01ZF,R01ZF_SARF000064,64,FULL_CONTEXT_OFFLINE,3,61,56,False
R01ZF,R01ZF_SARF000065,65,CAUSAL_REPLAY,3,49,56,False
R01ZF,R01ZF_SARF000065,65,FIXED_LAG_100MS,3,50,56,False
R01ZF,R01ZF_SARF000065,65,FULL_CONTEXT_OFFLINE,3,58,56,False
R01ZF,R01ZF_SARF000066,66,CAUSAL_REPLAY,3,40,49,False
R01ZF,R01ZF_SARF000066,66,FIXED_LAG_100MS,3,43,49,False
R01ZF,R01ZF_SARF000066,66,FULL_CONTEXT_OFFLINE,3,48,49,False
R01ZF,R01ZF_SARF000067,67,CAUSAL_REPLAY,3,58,61,False
R01ZF,R01ZF_SARF000067,67,FIXED_LAG_100MS,3,61,61,False
R01ZF,R01ZF_SARF000067,67,FULL_CONTEXT_OFFLINE,3,66,61,False
R01ZF,R01ZF_SARF000068,68,CAUSAL_REPLAY,3,43,53,False
R01ZF,R01ZF_SARF000068,68,FIXED_LAG_100MS,3,46,53,False
R01ZF,R01ZF_SARF000068,68,FULL_CONTEXT_OFFLINE,3,53,53,False
R01ZF,R01ZF_SARF000069,69,CAUSAL_REPLAY,3,57,61,False
R01ZF,R01ZF_SARF000069,69,FIXED_LAG_100MS,3,63,61,False
R01ZF,R01ZF_SARF000069,69,FULL_CONTEXT_OFFLINE,3,67,61,False
R01ZF,R01ZF_SARF000070,70,CAUSAL_REPLAY,3,46,52,False
R01ZF,R01ZF_SARF000070,70,FIXED_LAG_100MS,3,49,52,False
R01ZF,R01ZF_SARF000070,70,FULL_CONTEXT_OFFLINE,3,55,52,False
R01ZF,R01ZF_SARF000071,71,CAUSAL_REPLAY,3,41,51,False
R01ZF,R01ZF_SARF000071,71,FIXED_LAG_100MS,3,46,51,False
R01ZF,R01ZF_SARF000071,71,FULL_CONTEXT_OFFLINE,3,51,51,False
R01ZF,R01ZF_SARF000072,72,CAUSAL_REPLAY,3,52,55,False
R01ZF,R01ZF_SARF000072,72,FIXED_LAG_100MS,3,56,55,False
R01ZF,R01ZF_SARF000072,72,FULL_CONTEXT_OFFLINE,3,59,55,False
R01ZF,R01ZF_SARF000073,73,CAUSAL_REPLAY,3,48,53,False
R01ZF,R01ZF_SARF000073,73,FIXED_LAG_100MS,3,52,53,False
R01ZF,R01ZF_SARF000073,73,FULL_CONTEXT_OFFLINE,3,56,53,False
R01ZF,R01ZF_SARF000074,74,CAUSAL_REPLAY,3,45,47,False
R01ZF,R01ZF_SARF000074,74,FIXED_LAG_100MS,3,46,47,False
R01ZF,R01ZF_SARF000074,74,FULL_CONTEXT_OFFLINE,3,49,47,False
R01ZF,R01ZF_SARF000075,75,CAUSAL_REPLAY,3,44,47,False
R01ZF,R01ZF_SARF000075,75,FIXED_LAG_100MS,3,45,47,False
R01ZF,R01ZF_SARF000075,75,FULL_CONTEXT_OFFLINE,3,47,47,False
R01ZF,R01ZF_SARF000076,76,CAUSAL_REPLAY,3,51,51,False
R01ZF,R01ZF_SARF000076,76,FIXED_LAG_100MS,3,52,51,False
R01ZF,R01ZF_SARF000076,76,FULL_CONTEXT_OFFLINE,3,55,51,False
R01ZF,R01ZF_SARF000077,77,CAUSAL_REPLAY,3,52,53,False
R01ZF,R01ZF_SARF000077,77,FIXED_LAG_100MS,3,53,53,False
R01ZF,R01ZF_SARF000077,77,FULL_CONTEXT_OFFLINE,3,56,53,False
R01ZF,R01ZF_SARF000078,78,CAUSAL_REPLAY,3,44,53,False
R01ZF,R01ZF_SARF000078,78,FIXED_LAG_100MS,3,45,53,False
R01ZF,R01ZF_SARF000078,78,FULL_CONTEXT_OFFLINE,3,48,53,False
R01ZF,R01ZF_SARF000079,79,CAUSAL_REPLAY,3,50,56,False
R01ZF,R01ZF_SARF000079,79,FIXED_LAG_100MS,3,52,56,False
R01ZF,R01ZF_SARF000079,79,FULL_CONTEXT_OFFLINE,3,54,56,False
R01ZF,R01ZF_SARF000080,80,CAUSAL_REPLAY,3,46,54,False
