run_id,frame_uid,frame_index,mode,shell_id,track_id,region_id,region_label,intersection_pixel_count,region_pixel_count,region_coverage_fraction,theta_min_deg,theta_max_deg,range_min_m,range_max_m,pixel_intersection_used,edge_semantics
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0001,1,757,757,1.0,-36.84493637084961,-24.059316635131836,5.044940431192232,5.976087317790256,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0005,5,553,599,0.9232053422370617,-24.381582260131836,-19.465518951416016,16.77405054752779,17.418225319495544,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0007,7,1772,1772,1.0,-32.37929916381836,-24.574817657470703,17.414367144978847,18.99327500669023,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0011,11,483,730,0.6616438356164384,-41.65190505981445,-33.945091247558594,11.87562320985022,13.195693801785099,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0018,18,508,508,1.0,-26.77858543395996,-20.766679763793945,10.227400321963536,11.215151830754555,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0020,20,287,287,1.0,-36.13178634643555,-33.42591094970703,18.733454098520358,19.230485649755032,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0021,21,205,205,1.0,-36.286399841308594,-34.002803802490234,14.618698590670517,15.122797268955972,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0032,32,132,340,0.38823529411764707,-22.406240463256836,-17.509326934814453,8.546930505950076,9.231282210007098,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,CAUSAL_REPLAY,R01ZF_SARF000000__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0034,34,69,69,1.0,-30.869035720825195,-29.423992156982422,12.507464828447189,12.792483600307834,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0001,1,751,757,0.9920739762219286,-36.84493637084961,-24.059316635131836,5.044940431192232,5.976087317790256,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0002,2,232,446,0.5201793721973094,-49.018009185791016,-41.600276947021484,6.828363538920424,7.499381420747925,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0007,7,1772,1772,1.0,-32.37929916381836,-24.574817657470703,17.414367144978847,18.99327500669023,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0011,11,730,730,1.0,-41.65190505981445,-33.945091247558594,11.87562320985022,13.195693801785099,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0018,18,219,508,0.4311023622047244,-26.77858543395996,-20.766679763793945,10.227400321963536,11.215151830754555,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0020,20,287,287,1.0,-36.13178634643555,-33.42591094970703,18.733454098520358,19.230485649755032,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0021,21,205,205,1.0,-36.286399841308594,-34.002803802490234,14.618698590670517,15.122797268955972,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0029,29,331,366,0.9043715846994536,-45.999298095703125,-42.31557083129883,13.45653653787673,13.98073426173833,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0034,34,69,69,1.0,-30.869035720825195,-29.423992156982422,12.507464828447189,12.792483600307834,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FIXED_LAG_100MS,R01ZF_SARF000000__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0041,41,16,16,1.0,-42.75692367553711,-42.277565002441406,14.59023810267603,14.733600560098608,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
