run_id,mode,stream_frame_count,negative_optical_frame_count,pre_first_optical_frame_count,post_last_optical_frame_count,admission_open_event_count,optical_triggered_admission_event_count,structural_sar_only_false_admission_event_count,structural_sar_only_false_admission_frame_count,structural_sar_only_false_admission_frames,negative_time_non_dormant_hypothesis_frame_count,negative_time_non_dormant_hypothesis_frames,sar_clutter_used_to_open_hypothesis,negative_time_semantics
R01ZF,CAUSAL_REPLAY,495,317,0,1,12,12,0,0,,1,258,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R01ZF,FIXED_LAG_100MS,495,311,0,1,8,8,0,0,,0,,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R01ZF,FULL_CONTEXT_OFFLINE,495,302,0,1,8,8,0,0,,0,,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R02ZF,CAUSAL_REPLAY,495,356,93,0,33,33,0,0,,5,93;168;263;418;443,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R02ZF,FIXED_LAG_100MS,495,333,93,0,27,27,0,0,,0,,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R02ZF,FULL_CONTEXT_OFFLINE,495,304,93,0,27,27,0,0,,0,,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R03ZF,CAUSAL_REPLAY,495,429,428,0,5,5,0,0,,1,428,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R03ZF,FIXED_LAG_100MS,495,426,428,0,4,4,0,0,,0,,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
R03ZF,FULL_CONTEXT_OFFLINE,495,421,428,0,4,4,0,0,,0,,False,ADMISSION EVENTS ARE AUDITED SEPARATELY FROM PREVIOUSLY OPTICAL-TRIGGERED HYPOTHESES RETAINED ON LOCAL NO-SHELL FRAMES; THIS IS A STRUCTURAL CONTROL NOT PERSON-GT ACCURACY
