run_id,source_sar_frame,destination_sar_frame,source_region_id,destination_region_id,soft_intersection_px,p0_supported_continuation,p0_model,reference_used,p0_supported_destination_count,p0_supported_source_count,sar_topology_state
R01ZF,0,1,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0001,728.615234375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0002,422.751953125,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0003,R01ZF_SARF000001__Q095__R0004,885.330078125,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0003,R01ZF_SARF000001__Q095__R0035,144.958984375,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0004,R01ZF_SARF000001__Q095__R0006,658.810546875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0005,R01ZF_SARF000001__Q095__R0003,574.27734375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0006,R01ZF_SARF000001__Q095__R0005,289.896484375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0007,R01ZF_SARF000001__Q095__R0007,762.1875,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0007,R01ZF_SARF000001__Q095__R0008,732.5,True,M1,False,2,2,P0_SPLIT_AND_MERGE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0008,R01ZF_SARF000001__Q095__R0012,319.1328125,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0009,R01ZF_SARF000001__Q095__R0015,1096.373046875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0010,R01ZF_SARF000001__Q095__R0016,280.7578125,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0010,R01ZF_SARF000001__Q095__R0047,13.9375,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0011,R01ZF_SARF000001__Q095__R0014,706.65625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0012,R01ZF_SARF000001__Q095__R0017,195.53515625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0013,R01ZF_SARF000001__Q095__R0019,1044.064453125,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0014,R01ZF_SARF000001__Q095__R0022,208.94921875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0015,R01ZF_SARF000001__Q095__R0025,630.115234375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0016,R01ZF_SARF000001__Q095__R0009,426.65625,True,M1,False,1,2,P0_MERGE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0017,R01ZF_SARF000001__Q095__R0010,193.326171875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0018,R01ZF_SARF000001__Q095__R0018,369.947265625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0019,R01ZF_SARF000001__Q095__R0021,611.296875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0020,R01ZF_SARF000001__Q095__R0008,263.32421875,True,M1,False,1,2,P0_MERGE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0021,R01ZF_SARF000001__Q095__R0020,164.84375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0022,R01ZF_SARF000001__Q095__R0049,31.822265625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0023,R01ZF_SARF000001__Q095__R0027,147.98046875,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0023,R01ZF_SARF000001__Q095__R0045,45.34375,True,M1,False,2,1,P0_SPLIT_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0024,R01ZF_SARF000001__Q095__R0038,87.21875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0025,R01ZF_SARF000001__Q095__R0036,138.4140625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0026,R01ZF_SARF000001__Q095__R0028,141.77734375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0027,R01ZF_SARF000001__Q095__R0013,272.9375,True,M1,False,1,3,P0_MERGE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0028,R01ZF_SARF000001__Q095__R0026,175.6796875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0029,R01ZF_SARF000001__Q095__R0030,351.388671875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0030,R01ZF_SARF000001__Q095__R0032,137.9375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0031,R01ZF_SARF000001__Q095__R0044,22.0,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0032,R01ZF_SARF000001__Q095__R0031,309.958984375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0033,R01ZF_SARF000001__Q095__R0024,131.509765625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0034,R01ZF_SARF000001__Q095__R0023,69.0,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0035,R01ZF_SARF000001__Q095__R0034,74.646484375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0036,R01ZF_SARF000001__Q095__R0033,75.5859375,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0037,R01ZF_SARF000001__Q095__R0039,38.509765625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0038,R01ZF_SARF000001__Q095__R0041,19.447265625,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0039,R01ZF_SARF000001__Q095__R0013,4.396484375,True,M1,False,1,3,P0_MERGE_LIKE
R01ZF,0,1,R01ZF_SARF000000__Q095__R0040,R01ZF_SARF000001__Q095__R0053,5.1875,True,M1,False,1,1,P0_ONE_TO_ONE_LIKE
