temporal_overlap_cluster_id,run_id,temporal_overlap_cluster_index_within_run,temporal_overlap_cluster_start_sar_frame,temporal_overlap_cluster_end_sar_frame,temporal_overlap_cluster_frame_span,segment_view_count,contracted_segment_view_count,temporal_overlap_cluster_has_relational_contraction,repeated_view_excluded_world_sum_not_independent,segment_ids,segment_kinds,cluster_semantics
TERGR1EP_5887703151F04B9E2E7A,R01ZF,1,0,122,123,16,0,False,0,TERGS_E766DA8C46F860D1BA2F;TERGS_78A1EE0BE1319B401D51;TERGS_8BEED5994DAAC1AE86CF;TERGS_253C26F1BF4B2985C601;TERGS_BC5EA4947C3E28B93EB6;TERGS_BDFB23ADB9531057AE1C;TERGS_447E05427C2D6C44CC40;TERGS_90732AAA7ED6876C7E68;TERGS_1CFF140A9BB35DBEE86F;TERGS_4DCF92A4ED1645C80C30;TERGS_D939CE55686A60BC97A8;TERGS_6E3564DE2B9BCF7CE7F6;TERGS_F01D7DE8D068D8533122;TERGS_2329DA3AFF8E7609BCB2;TERGS_333C24F63385DAFD9021;TERGS_2A1E38ABAA50E3792676,"{ACTIVE_FRAGMENT_SET_PLATEAU,CONTINUOUS_FRAGMENT_LIFECYCLE,RELATIVE_ORDER_STATE_PLATEAU,SAR_BOUNDARY_CENSOR_CONTEXT,SAR_MERGE_LIKE_CONTEXT,SAR_SPLIT_LIKE_CONTEXT}",INTERVAL_OVERLAP_CONNECTED_COMPONENT_NOT_INDEPENDENT_PHYSICAL_EPISODE
TERGR1EP_14D8543A5B84200A24D6,R02ZF,1,469,497,29,20,15,True,414948,TERGS_5CE262A17741C5FC8BFB;TERGS_DA539F692DB3CF52F38F;TERGS_A6E046163A60B75E621B;TERGS_190792243168018C6692;TERGS_6436F78EE3B62E359C28;TERGS_D9A02C06CA67BAF86AAE;TERGS_D848C6E5AC73E1AEEFDA;TERGS_E7F91D8684FAAF6A9219;TERGS_60EB5053F2693E18D58B;TERGS_38238A43231066968F66;TERGS_409886F81D9E45334F4F;TERGS_6C426359C612628C7A31;TERGS_406E06BEE8B19831E091;TERGS_4B565EEA0C6931299151;TERGS_8D6DB9A2F108568B32AA;TERGS_A923293CFBC550AE18D7;TERGS_F66D1A1E88076E254C22;TERGS_48FABD798C7CE3742190;TERGS_1BB7B9183580C17A201F;TERGS_CAAB4EA22C44536DF2CC,"{ACTIVE_FRAGMENT_SET_PLATEAU,CONTINUOUS_FRAGMENT_LIFECYCLE,RELATIVE_ORDER_STATE_PLATEAU,SAR_BOUNDARY_CENSOR_CONTEXT,SAR_MERGE_LIKE_CONTEXT,SAR_SPLIT_LIKE_CONTEXT}",INTERVAL_OVERLAP_CONNECTED_COMPONENT_NOT_INDEPENDENT_PHYSICAL_EPISODE
TERGR1EP_ED05F710C2E91E475942,R03ZF,1,458,494,37,2,0,False,0,TERGS_6EA858FDC375FA946246;TERGS_FD6F6E750E8BBEA9ED4C,"{ACTIVE_FRAGMENT_SET_PLATEAU,CONTINUOUS_FRAGMENT_LIFECYCLE}",INTERVAL_OVERLAP_CONNECTED_COMPONENT_NOT_INDEPENDENT_PHYSICAL_EPISODE
