run_id,frame_uid,frame_index,frozen_region_count,recomputed_region_count,region_count_match,q95_label_mask_pixel_exact,parity_state
R01ZF,R01ZF_SARF000000,0,46,46,True,True,EXACT
R01ZF,R01ZF_SARF000001,1,53,53,True,True,EXACT
R01ZF,R01ZF_SARF000002,2,53,53,True,True,EXACT
R01ZF,R01ZF_SARF000003,3,49,49,True,True,EXACT
R01ZF,R01ZF_SARF000004,4,44,44,True,True,EXACT
R01ZF,R01ZF_SARF000005,5,46,46,True,True,EXACT
R01ZF,R01ZF_SARF000006,6,48,48,True,True,EXACT
R01ZF,R01ZF_SARF000007,7,46,46,True,True,EXACT
R01ZF,R01ZF_SARF000008,8,47,47,True,True,EXACT
R01ZF,R01ZF_SARF000009,9,61,61,True,True,EXACT
R01ZF,R01ZF_SARF000010,10,50,50,True,True,EXACT
R01ZF,R01ZF_SARF000011,11,61,61,True,True,EXACT
R01ZF,R01ZF_SARF000012,12,64,64,True,True,EXACT
R01ZF,R01ZF_SARF000013,13,64,64,True,True,EXACT
R01ZF,R01ZF_SARF000014,14,62,62,True,True,EXACT
R01ZF,R01ZF_SARF000015,15,61,61,True,True,EXACT
R01ZF,R01ZF_SARF000016,16,55,55,True,True,EXACT
R01ZF,R01ZF_SARF000017,17,60,60,True,True,EXACT
R01ZF,R01ZF_SARF000018,18,51,51,True,True,EXACT
R01ZF,R01ZF_SARF000019,19,56,56,True,True,EXACT
R01ZF,R01ZF_SARF000020,20,53,53,True,True,EXACT
R01ZF,R01ZF_SARF000021,21,50,50,True,True,EXACT
R01ZF,R01ZF_SARF000022,22,51,51,True,True,EXACT
R01ZF,R01ZF_SARF000023,23,57,57,True,True,EXACT
R01ZF,R01ZF_SARF000024,24,57,57,True,True,EXACT
R01ZF,R01ZF_SARF000025,25,58,58,True,True,EXACT
R01ZF,R01ZF_SARF000026,26,52,52,True,True,EXACT
R01ZF,R01ZF_SARF000027,27,49,49,True,True,EXACT
R01ZF,R01ZF_SARF000028,28,52,52,True,True,EXACT
R01ZF,R01ZF_SARF000029,29,52,52,True,True,EXACT
R01ZF,R01ZF_SARF000030,30,58,58,True,True,EXACT
R01ZF,R01ZF_SARF000031,31,58,58,True,True,EXACT
R01ZF,R01ZF_SARF000032,32,64,64,True,True,EXACT
R01ZF,R01ZF_SARF000033,33,60,60,True,True,EXACT
R01ZF,R01ZF_SARF000034,34,56,56,True,True,EXACT
R01ZF,R01ZF_SARF000035,35,56,56,True,True,EXACT
R01ZF,R01ZF_SARF000036,36,51,51,True,True,EXACT
R01ZF,R01ZF_SARF000037,37,50,50,True,True,EXACT
R01ZF,R01ZF_SARF000038,38,55,55,True,True,EXACT
R01ZF,R01ZF_SARF000039,39,55,55,True,True,EXACT
R01ZF,R01ZF_SARF000040,40,43,43,True,True,EXACT
R01ZF,R01ZF_SARF000041,41,51,51,True,True,EXACT
R01ZF,R01ZF_SARF000042,42,55,55,True,True,EXACT
R01ZF,R01ZF_SARF000043,43,52,52,True,True,EXACT
R01ZF,R01ZF_SARF000044,44,58,58,True,True,EXACT
R01ZF,R01ZF_SARF000045,45,55,55,True,True,EXACT
R01ZF,R01ZF_SARF000046,46,53,53,True,True,EXACT
R01ZF,R01ZF_SARF000047,47,55,55,True,True,EXACT
