temporal_overlap_cluster_id,temporal_overlap_cluster_index_within_run,segment_id,run_id,start_sar_frame,end_sar_frame,segment_kind,N_excluded_joint_worlds,segment_contracted,independent_evidence_unit,temporal_overlap_cluster_semantics,cluster_semantics
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_5CE262A17741C5FC8BFB,R02ZF,469,476,SAR_SPLIT_LIKE_CONTEXT,9,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_DA539F692DB3CF52F38F,R02ZF,470,477,SAR_MERGE_LIKE_CONTEXT,9,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_A6E046163A60B75E621B,R02ZF,472,480,ACTIVE_FRAGMENT_SET_PLATEAU,23,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_190792243168018C6692,R02ZF,472,494,CONTINUOUS_FRAGMENT_LIFECYCLE,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_6436F78EE3B62E359C28,R02ZF,472,494,RELATIVE_ORDER_STATE_PLATEAU,95,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_D9A02C06CA67BAF86AAE,R02ZF,472,494,CONTINUOUS_FRAGMENT_LIFECYCLE,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,480,487,SAR_MERGE_LIKE_CONTEXT,1996,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_E7F91D8684FAAF6A9219,R02ZF,481,485,ACTIVE_FRAGMENT_SET_PLATEAU,191,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_60EB5053F2693E18D58B,R02ZF,481,488,SAR_SPLIT_LIKE_CONTEXT,20664,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_38238A43231066968F66,R02ZF,481,494,RELATIVE_ORDER_STATE_PLATEAU,10,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_409886F81D9E45334F4F,R02ZF,481,494,CONTINUOUS_FRAGMENT_LIFECYCLE,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_6C426359C612628C7A31,R02ZF,481,494,RELATIVE_ORDER_STATE_PLATEAU,27,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_406E06BEE8B19831E091,R02ZF,487,494,SAR_SPLIT_LIKE_CONTEXT,215286,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_4B565EEA0C6931299151,R02ZF,488,494,CONTINUOUS_FRAGMENT_LIFECYCLE,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_8D6DB9A2F108568B32AA,R02ZF,488,494,RELATIVE_ORDER_STATE_PLATEAU,1,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_A923293CFBC550AE18D7,R02ZF,488,494,RELATIVE_ORDER_STATE_PLATEAU,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_F66D1A1E88076E254C22,R02ZF,488,494,RELATIVE_ORDER_STATE_PLATEAU,17,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_48FABD798C7CE3742190,R02ZF,488,495,SAR_MERGE_LIKE_CONTEXT,138420,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_1BB7B9183580C17A201F,R02ZF,490,494,ACTIVE_FRAGMENT_SET_PLATEAU,19100,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_14D8543A5B84200A24D6,1,TERGS_CAAB4EA22C44536DF2CC,R02ZF,490,497,SAR_BOUNDARY_CENSOR_CONTEXT,19100,True,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_ED05F710C2E91E475942,1,TERGS_6EA858FDC375FA946246,R03ZF,458,494,CONTINUOUS_FRAGMENT_LIFECYCLE,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
TERGR1EP_ED05F710C2E91E475942,1,TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,458,494,ACTIVE_FRAGMENT_SET_PLATEAU,0,False,False,OVERLAPPING_SEGMENT_VIEW_OF_ONE_UNDERLYING_TEMPORAL_EPISODE,OVERLAPPING_SEGMENT_VIEW_MEMBERSHIP
