sensitivity,topology_mode,reference_rows,applied_reference_rows,angular_retention_fraction,radial_retention_fallback_aware_fraction,support_2d_retention_fallback_aware_fraction,radial_retention_applied_only_fraction,support_2d_retention_applied_only_fraction
CURRENT_FROZEN,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,4,4,1.0,1.0,1.0,1.0,1.0
CURRENT_FROZEN,PRIMARY_SELECTED_CURB,4,4,1.0,1.0,1.0,1.0,1.0
PLUS_MINUS_1_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_1_DEG,PRIMARY_SELECTED_CURB,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_2_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_2_DEG,PRIMARY_SELECTED_CURB,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_3_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_3_DEG,PRIMARY_SELECTED_CURB,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_4_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_4_DEG,PRIMARY_SELECTED_CURB,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_6_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,4,4,0.5,1.0,0.5,1.0,0.5
PLUS_MINUS_6_DEG,PRIMARY_SELECTED_CURB,4,4,0.5,1.0,0.5,1.0,0.5
