run_id,sar_frame_index,track_id,target_id_oracle,sensitivity,topology_mode,reference_range_m,reference_theta_deg,reference_d_parallel_m,reference_support_status,curb_state,angular_support_retained,radial_topology_retained,support_2d_retained,post_reference_only
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,CURRENT_FROZEN,PRIMARY_SELECTED_CURB,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,True,True,True,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,CURRENT_FROZEN,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,True,True,True,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_6_DEG,PRIMARY_SELECTED_CURB,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_6_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_4_DEG,PRIMARY_SELECTED_CURB,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_4_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_3_DEG,PRIMARY_SELECTED_CURB,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_3_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_2_DEG,PRIMARY_SELECTED_CURB,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,PLUS_MINUS_2_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,13.542384228507206,-29.19954789588466,11.821498303744159,FULL,CURB_TOPOLOGY_APPLIED,False,True,False,True
